Index,Category,Feature,Level,Description,Explanation
1.1.1,Organize,Team Formation,1, Core team coalesces around bird species/multispecies group,Interested parties who will provide leadership come together to create working group
1.1.2,Organize,Team Formation,2, Named working group established with defined leadership,Working group formed with at least initial leadership responsibilities assigned
1.1.3,Organize,Team Formation,3, Human dimensions & biological experts invited to partnership,"Invitations to multiple spheres of expertise: biologists, ecologists, social scientists, government, habitat managers; core sphere = active working group members, supporting sphere = ancillary members/occasional experts"
1.1.4,Organize,Team Formation,4, Attention to diversity and inclusivity in core and supporting teams,(amplifies level 3) Global South leaders & groups invited; diverse and nontraditional partners invited
1.1.5,Organize,Team Formation,5, Group organizational plan and clear rules of engagement established,Rules of engagement reflect values on inclusiveness; clear process for decision making
1.2.1,Organize,Connections,1, Basic internal communications plan established,"Email lists, listserv strategies, periodic newsletter?"
1.2.2,Organize,Connections,2, Meeting schedule identified and sustained,Group and subgroups meet virtually and/or in person—and continue to meet—on regular schedule
1.2.3,Organize,Connections,3, External communication: established website and/or newsletter,Structure to maintain group visibility with other working groups and general public (if desired)
1.2.4,Organize,Connections,4, Multilingual capacity,"Mechanism in place for translating website, communications, meetings, etc. into English, Spanish, French, Portuguese (as needed)"
1.2.5,Organize,Connections,5, Strategy for sustaining partnership involvement,Strategy in place for continuing contact and capacity building
1.3.1,Organize,Network Action,1, Organizational and conservation workplan delineating necessary tasks,"Core team cannot do all the work; permanent or subcommittees as needed, with clear leadership/coordination responsibility"
1.3.2,Organize,Network Action,2, Responsibility for tasks assumed by subcommittees with leaders ,Permanent or as-needed subcommittees with leadership/coordination responsibility clearly designated
1.3.3,Organize,Network Action,3, Subcommittees/local groups deliberately linked horizontally and vertically,"Flow of information and support between groups/committees is encouraged; all groups linked to larger effort, information transmitted to subgroups and subgroup accomplishments scaled up"
1.3.4,Organize,Network Action,4, Intentional capacity building,"Network develops deliberate plans for sustaining conservation action; continued education, training opportunities, monitoring"
1.3.5,Organize,Network Action,5, Network relationships engender continued conservation action,Network strength fosters relationships that lead to autonomous support and conservation action
2.1.1,Assess,Vulnerability,1," Global population size, short-term & long-term trends estimated",Some idea of population parameters from isolated surveys and/or expert opinion
2.1.2,Assess,Vulnerability,2," Global population size, short-term & long-term trends known",Greater certainty with respect to population size and trends based on statistically significant survey assessments
2.1.3,Assess,Vulnerability,3, ACAD Watch List and Tipping Point assessment complete,"Incorporates breeding & nonbreeding threat level and distribution, climate change, as well as population size and trend"
2.1.4,Assess,Vulnerability,4," Vulnerability recognized at national, state/province, or joint venture scales","Compilation of state/province, Joint Venture, or national (including Middle/South America) listings completed"
2.1.5,Assess,Vulnerability,5, Local knowledge included in vulnerability assessment,Traditional ecological knowledge as well as unpublished Global South studies and knowledge incorporated in assessment
2.2.1,Assess,Population Structure,1, Subspecies identified,Known subspecies as described in the literature and museum specimens; may not be relevant
2.2.2,Assess,Population Structure,2, Genoscape analysis completed,Genoscape analysis aka Kristen Ruegg; may not be relevant for all species
2.2.3,Assess,Population Structure,3, Spatially explicit population density and trends available,"Source information in eBird, BBS, ACAD, etc."
2.2.4,Assess,Population Structure,4," ""Natural"" populations defined by similar trend trajectories","Sensu Rushing  et al. 2015, Using demographic attributes from long-term monitoring data to delineate natural population structure"
2.2.5,Assess,Population Structure,5, Potential partners identified in key breeding geographies,Analysis of partnering opportunities in areas of high species density and/or negative trajectories requiring conservation action
2.3.1,Assess,Migratory Connetivity,1," Migratory status, breeding and nonbreeding geographies identified","Source information in eBird, BBS, ACAD, Birds of the World"
2.3.2,Assess,Migratory Connetivity,2, Migratory connectivity and migration pathways identified,"Results of studies of individual birds using isotopes, banding data, geolocators, nanotags, GPS transmitters, etc."
2.3.3,Assess,Migratory Connetivity,3, Critical migratory stopover locations identified,"Concentration areas during migration along shorelines, molt migration locations, etc."
2.3.4,Assess,Migratory Connetivity,4, Linked breeding/nonbreeding areas for declining populations,Linkages between distinctly declining breeding populations and nonbreeding areas for the same populations
2.3.5,Assess,Migratory Connetivity,5, Potential partners contacted in key nonbreeding geographies,"Linkages established with biologists, ecologists, ornithologists, sociologists, conservationists, etc. in linked geographies of interest"
3.1.1,Identify,Demographics,1," Spatially explicit breeding season success, breeding productivity known","In addition to trends, actual spatially explicit breeding vital rates have been identified (e.g., nest success, production, fledgling survival)"
3.1.2,Identify,Demographics,2, Nonbreeding and annual cycle vital rates known,"Adult survival during breeding and nonbreeding seasons, first year survival, dispersal, recurrent migratory mortality"
3.1.3,Identify,Demographics,3, Ecological and life history correlates of vital rates identified,Age- and sex-specific demographic and life history differences have been identified and quantitatively estimated
3.1.4,Identify,Demographics,4, Integrated population model (IPM) completed,"Full IPM model, or determination that inference is sufficient to proceed with conservation action with incomplete knowledge"
3.1.5,Identify,Demographics,5, Socioeconomic correlates of demographic parameters identified,"E.g., are spatially explicit vital rates correlated with land-ownership, conservation policies, or management practices?"
3.2.1,Identify,Focus Areas,1, Demographically linked populations identified,Demographics corroborate and refine linked migratory populations suggested by 2.3.4 assessment
3.2.2,Identify,Focus Areas,2, IPM and linked population geography used to identify focus areas,When in the annual cycle and where in the species range would conservation action most likely change population trajectory?
3.2.3,Identify,Focus Areas,3, Partnering opportunities identified in focus areas,"In biologically assessed focal areas, partnership landscape assessed (e.g., private or public lands; economic status of local communities) "
3.2.4,Identify,Focus Areas,4, Key partner opportunities refined and contacts established,Network analysis suggest partnerships that might be most promising for leveraging conservation action (not just bird-oriented)
3.2.5,Identify,Focus Areas,5, Biological focus areas refined by including human landscape assessment,Biological and social dimensions combined to further refined areas in which to focus species conservation actions
3.3.1,Identify,Local Knowledge,1, Review of published knowledge relevant for identified focus areas,"In addition to target species studies, what can we learn about focus areas that would be important (e.g. climate change, human well-being issues)"
3.3.2,Identify,Local Knowledge,2," Review of relevant local knowledge, published or unpublished","Thorough attempt to include studies published in Global South, unpublished reports, insights from scientists working in focus areas"
3.3.3,Identify,Local Knowledge,3, Local community contacts identified in focus areas,"Leaders of 3.2.4 partnerships identified (e.g., tribal biologists, community action leaders, strong links from amplified social network analysis)"
3.3.4,Identify,Local Knowledge,4, Local and Traditional Ecological Knowledge assessed,Conversations with above community leaders results in inclusion of local insights and indigenous Traditional Ecological Knowledge
3.3.5,Identify,Local Knowledge,5, Focus area profile completed,"Synthesis of social, biological, and geopolitical, and traditional ecological knowledge for focus areas"
4.1.1,Address,Habitat and Ecology,1, Breeding habitat and ecology known,"Detailed breeding and foraging habitat relationships, including  breeding system, clutch size, brood sequence, nest sites, diet, etc."
4.1.2,Address,Habitat and Ecology,2, Nonbreeding habitat and ecology known,"Nonbreeding habitat relationships, including dispersal, migration, interspecies relationships, foraging niche, molt requirements, etc."
4.1.3,Address,Habitat and Ecology,3," Spatially explicit habitat mapping, breeding and nonbreeding","GIS mapping of available and restorable habitat, breeding and nonbreeding, especially within focus areas"
4.1.4,Address,Habitat and Ecology,4, Human activities affecting breeding habitat quality identified,What are the most important anthropogenic factors affecting breeding habitat quality at habitat (not regional) scale?
4.1.5,Address,Habitat and Ecology,5, Human activities affecting nonbreeding habitat quality identified,What are the most important anthropogenic factors affecting nonbreeding habitat quality at habitat (not regional) scale?
